Agency Name,Website,City,State,Owner/Contact Name,Email,Phone,Agency Type,Estimated Size,Family Update Signal,Current Software Mentioned,Fit Score,Outreach Sent,Call Attempted,Response,Next Step,Notes
Gracious Home Care,https://www.yellowpages.com/union-nj/mip/gracious-home-care-451874929,Union,NJ,Front desk / intake,,(908) 206-1100,Home care agency,Small,Family business and companionship support language,,4,,,,Call first and verify family-update pain,Family business angle is good
Professional Helping Hands,https://sites.google.com/a/phhands.com/www/professional-helping-hands-the-difference-is-we-care,Highland Park,NJ,Marty,marty@phhands.com,(732) 207-3195,Independent home care,Small,Difference is we care and family support language,,5,,,,Send pain-first email then call,Named contact and direct email make this high priority
Total Hands Home Care,https://sites.google.com/totalhandshomecare.com/totalhandshomecare,Newark,NJ,Front desk / intake,,,Home care and nursing services,Mid,Family needs discussion and communication language,,3,,,,Research better contact,Needs phone and role contact before outreach
CareBridge Home Care,https://sites.google.com/site/carebridgecare/carebridge-delivers-professional-home-health-care-in-nj,New Brunswick,NJ,Front desk / intake,,(732) 722-7800,Professional home care,Small,Professional caregivers and free consultation language,,4,,,,Call first and verify family-update pain,Good local New Jersey lead
Advantage Private Home Care,https://www.yellowpages.com/roswell-ga/mip/advantage-private-home-care-481391261,Roswell,GA,Front desk / intake,,,Private senior home care,Small,Private in-home senior care positioning,,4,,,,Research better contact,Private duty fit is good if direct contact can be found
Diamond Care Management,https://sites.google.com/diamondcaremanagement.com/home/home,Atlanta,GA,Front desk / intake,,,Home care services,Small,Helping elderly people and home support language,,3,,,,Research better contact,Contact details still weak
S and S Private Home Care,https://www.yellowpages.com/albany-ga/mip/s-s-private-home-care-559269606,Albany,GA,Front desk / intake,,,Private home care,Small,Private home care naming signal,,4,,,,Research better contact,Could be good but needs better contact data
Oconee Area Home Care,https://www.yellowpages.com/athens-ga/mip/oconee-area-home-care-14936506,Athens,GA,Front desk / intake,,(706) 613-5494,Private home care provider,Small,Independent living at home language,,4,,,,Call first and verify family-update pain,Strong local candidate
NuLife Senior Care,https://www.yellowpages.com/marietta-ga/mip/nulife-senior-care-475772687,Powder Springs,GA,Front desk / intake,,,Companion senior care,Small,Compassion and companionship language,,4,,,,Research better contact,Good service fit if private pay mix is real
TheKey Atlanta,https://thekey.com/locations/georgia/atlanta,Atlanta,GA,Front desk / intake,,(404) 738-3511,Home care agency,Mid,Private duty continuity of care language,,2,,,,Remove from active outreach,Too established for first wedge
Grace Home Health,http://www.gracehomehealth.com,Plano,TX,Front desk / intake,,(469) 326-1700,Home health and private duty,Mid,Private duty continuity of care language,,3,,,,Call first and verify family-update pain,Leans medical but still relevant
Uptown Homecare,http://www.houstonuptownhomecare.com,Houston,TX,Front desk / intake,,(713) 980-3930,Private duty home care,Mid,Locally owned private duty messaging,,5,,,,Call first and verify family-update pain,Excellent Houston pilot candidate
HomeWell Senior Care of Collin County,https://www.yellowpages.com/mckinney-tx/mip/homewell-senior-care-of-collin-county-496056358,McKinney,TX,Front desk / intake,,,Senior home care,Mid,Respite and around the clock care language,,3,,,,Research better contact,Franchise brand lowers fit
Ambience In-Home Care,https://www.ambienceinhomecare.com,Pantego,TX,Front desk / intake,,(469) 573-4213,In-home care,Small,Dementia and respite care language,,4,,,,Call first and verify family-update pain,Independent feeling and direct phone
A Pineywoods Home Health Care,http://www.apineywoods.com,Lufkin,TX,Front desk / intake,,(936) 634-1614,Home health and home services,Mid,Locally owned and operated wording,,3,,,,Call first and verify family-update pain,More medical than ideal but local ownership helps
CareServe Private Duty,https://www.careservehealth.com,Houston,TX,Front desk / intake,,(713) 485-4663,Private duty home care,Mid,Private duty naming signal and local Houston footprint,,4,,,,Call first and verify family-update pain,Operationally relevant if owner reachable
HomeAide Home Care,https://sites.google.com/view/homeaidehomecare/home,Hayward,CA,Front desk / intake,,(510) 247-1200,Private duty home care,Small,Family owned and operated wording,,5,,,,Call first and verify family-update pain,Very strong Bay Area pilot candidate
We Care Home Care,https://www.yellowpages.com/los-angeles-ca/mip/we-care-home-care-465524396,Los Angeles,CA,Front desk / intake,,(310) 882-5310,Private home services agency,Mid,Privately owned and quality of life language,,4,,,,Call first and verify family-update pain,Could be good if owner is reachable
Alice Home Care,https://sites.google.com/view/alicehomecare/home,Alameda,CA,Front desk / intake,info@alicehomecare.com,(510) 924-8529,In-home senior care,Small,Peace of mind for families wording,,5,,,,Send pain-first email then call,Excellent family trust fit and direct email
NorCal Individual Care,https://sites.google.com/norcalindividualcare.com/website/services-programs/home-care-services,Sacramento,CA,Front desk / intake,,(916) 243-5320,Home care services,Mid,Medication log and caregiver compatibility language,,4,,,,Call first and verify family-update pain,Strong accountability angle
Caring Hands In-Home Care,https://www.yellowpages.com/torrance-ca/mip/caring-hands-in-home-care-456062666,Torrance,CA,Front desk / intake,,(310) 292-8425,Private duty in-home care,Small,Independently owned and personalized service language,,5,,,,Call first and verify family-update pain,Strong Southern California fit
Amada Senior Care Twin Cities,https://www.yellowpages.com/white-bear-lake-mn/mip/amada-senior-care-twin-cities-579524910,White Bear Lake,MN,Front desk / intake,,(651) 000-0000,Senior in-home care,Mid,Compassionate in-home care and family guidance language,,2,,,,Remove from active outreach,Franchise style network lowers fit
Joyful Companions Home Care,http://www.joyfulcompanions.com,Minneapolis,MN,Front desk / intake,,(763) 544-0401,Home care agency,Small,Companion care branding and local positioning,,4,,,,Call first and verify family-update pain,Good local lead if private-pay mix is real
Esteem Nursing Care Inc,http://carepathways.com,Brooklyn Center,MN,Front desk / intake,,(763) 503-2400,Alternative home care services,Mid,Family owned and dementia care language,,3,,,,Call first and verify family-update pain,Broader service range than ideal
Visiting Angels Wayzata,https://www.yellowpages.com/wayzata-mn/mip/visiting-angels-475666818,Wayzata,MN,Front desk / intake,,(952) 935-0789,Non-medical senior home care,Mid,Senior home care and personal care wording,,2,,,,Remove from active outreach,Franchise lowers fit
ComForcare Home Care,https://www.comforcare.com/minnesota/minnetonka/,Minnetonka,MN,Front desk / intake,,(952) 767-1687,Non-medical home care,Mid,24 hour non-medical home care messaging,,2,,,,Remove from active outreach,Franchise style operator
Metz Lifestyle Management Services,https://www.yellowpages.com/saint-paul-mn/mip/metz-lifestyle-management-services-llc-505297331,Saint Paul,MN,Front desk / intake,,,In-home senior care,Small,Family concern language on listing,,4,,,,Research better contact,Promising but direct contact details are thin
